date,median respone time 50,median respone time 95,total rps
2023-01-18 14:11:33.612440,62,330.0,27.3
2023-01-18 14:11:33.691205,62,330.0,27.3
2023-01-18 14:11:33.802806,62,330.0,27.3
2023-01-18 14:11:33.807981,62,330.0,27.3
2023-01-18 14:11:33.813157,62,330.0,27.3
2023-01-18 14:11:34.349996,68,340.0,29.9
2023-01-18 14:11:34.682977,68,340.0,29.9
2023-01-18 14:11:34.895613,68,340.0,29.9
2023-01-18 14:11:34.991683,68,340.0,29.9
2023-01-18 14:11:35.107608,68,340.0,29.9
2023-01-18 14:11:35.219519,68,340.0,29.9
2023-01-18 14:11:35.277893,68,340.0,29.9
2023-01-18 14:11:35.377182,68,340.0,29.9
2023-01-18 14:11:36.027279,68,340.0,29.9
2023-01-18 14:11:36.064309,68,340.0,29.9
2023-01-18 14:11:36.292697,68,340.0,29.9
2023-01-18 14:11:36.416974,67,340.0,27.8
2023-01-18 14:11:36.678541,67,340.0,27.8
2023-01-18 14:11:36.681547,67,340.0,27.8
2023-01-18 14:11:37.016398,67,340.0,27.8
2023-01-18 14:11:37.038513,67,340.0,27.8
2023-01-18 14:11:37.234969,67,340.0,27.8
2023-01-18 14:11:37.245863,67,340.0,27.8
2023-01-18 14:11:37.441861,67,340.0,27.8
2023-01-18 14:11:37.581324,67,340.0,27.8
2023-01-18 14:11:38.457781,67,340.0,26.0
2023-01-18 14:11:38.619461,67,340.0,26.0
2023-01-18 14:11:38.726582,67,340.0,26.0
2023-01-18 14:11:38.817538,67,340.0,26.0
2023-01-18 14:11:38.821340,67,340.0,26.0
2023-01-18 14:11:39.385945,67,340.0,26.0
2023-01-18 14:11:39.787710,67,340.0,26.0
2023-01-18 14:11:40.021932,67,340.0,26.0
2023-01-18 14:11:40.088273,67,340.0,26.0
2023-01-18 14:11:40.096090,67,340.0,26.0
2023-01-18 14:11:40.101530,67,340.0,26.0
2023-01-18 14:11:40.126794,67,340.0,26.0
2023-01-18 14:11:40.130269,67,340.0,26.0
2023-01-18 14:11:40.539710,68,390.0,22.9
2023-01-18 14:11:40.651335,68,390.0,22.9
2023-01-18 14:11:40.799687,68,390.0,22.9
2023-01-18 14:11:41.039299,68,390.0,22.9
2023-01-18 14:11:41.302135,68,390.0,22.9
2023-01-18 14:11:41.308025,68,390.0,22.9
2023-01-18 14:11:41.310315,68,390.0,22.9
2023-01-18 14:11:41.352961,68,390.0,22.9
2023-01-18 14:11:41.516146,68,390.0,22.9
2023-01-18 14:11:41.832483,68,390.0,22.9
2023-01-18 14:11:42.034988,68,390.0,22.9
2023-01-18 14:11:42.095166,68,390.0,22.9
2023-01-18 14:11:42.197090,68,390.0,22.9
2023-01-18 14:11:42.679203,69,370.0,19.5
2023-01-18 14:11:42.681376,69,370.0,19.5
2023-01-18 14:11:42.683428,69,370.0,19.5
2023-01-18 14:11:42.687369,69,370.0,19.5
2023-01-18 14:11:42.689630,69,370.0,19.5
2023-01-18 14:11:42.709354,69,370.0,19.5
2023-01-18 14:11:42.717597,69,370.0,19.5
2023-01-18 14:11:42.887487,69,370.0,19.5
2023-01-18 14:11:42.985299,69,370.0,19.5
2023-01-18 14:11:43.170520,69,370.0,19.5
